Sample,AC_RED,AC_IR,AC_GREEN,Pressure
0,1.490566,0.780992,0.656644,101.606691
1,1.50504,0.783953,0.661578,101.795437
2,1.54945,0.823428,0.69908,101.627465
3,1.554714,0.843166,0.711252,101.421505
4,1.553398,0.834613,0.709936,101.574046
5,1.529713,0.804019,0.691843,101.550304
6,1.527739,0.80073,0.68625,101.350874
7,1.537608,0.795795,0.698093,101.314668
8,1.572478,0.826718,0.729345,101.2749
9,1.583005,0.829678,0.731976,101.299235
10,1.58761,0.828363,0.733621,101.159159
11,1.576096,0.798756,0.722765,101.119392
12,1.576754,0.79119,0.721449,101.137198
13,1.584649,0.793492,0.723423,101.030361
14,1.617217,0.812243,0.749082,101.030361
15,1.632349,0.830007,0.764544,100.808375
16,1.638928,0.840205,0.760267,100.953793
17,1.619848,0.821454,0.739871,100.749615
18,1.627415,0.828692,0.740858,100.788195
19,1.623796,0.83231,0.741516,100.66177
0,1.661956,0.862246,0.768162,100.624377
1,1.68268,0.876391,0.789874,100.389928
2,1.678404,0.890537,0.796453,100.401799
3,1.662614,0.862904,0.779018,100.357283
4,1.658008,0.850732,0.769807,100.163194
5,1.652745,0.8481,0.775399,100.162601
6,1.65735,0.868496,0.812243,99.986318
7,1.695839,0.891524,0.81323,100.081285
8,1.715577,0.882971,0.81652,100.107995
9,1.717551,0.884286,0.825073,99.963764
10,1.692549,0.855667,0.805006,99.953674
11,1.704392,0.861917,0.807309,99.879481
12,1.712287,0.855996,0.809612,99.581522
13,1.737288,0.897116,0.830665,99.713289
14,1.746828,0.906327,0.838889,99.615948
15,1.751434,0.911261,0.837903,99.520981
16,1.73367,0.903366,0.819481,99.404646
17,1.738275,0.901064,0.818494,99.366066
18,1.73992,0.911919,0.821783,99.31146
19,1.773474,0.947776,0.864549,99.286531
0,1.788278,0.958961,0.872444,99.090662
1,1.791896,0.963238,0.874746,99.193939
2,1.770843,0.936921,0.853364,99.212932
3,1.753079,0.931657,0.857969,98.944651
4,1.76525,0.935934,0.856324,98.993915
5,1.794199,0.964882,0.883957,99.020624
6,1.804726,0.967514,0.893826,98.982637
7,1.819529,0.973435,0.897116,98.595647
8,1.801107,0.95304,0.887905,98.581402
9,1.803081,0.948105,0.881655,98.50068
10,1.806371,0.950079,0.885602,98.35823
11,1.834333,0.96554,0.915867,98.209844
12,1.84782,0.997779,0.920801,98.221715
13,1.858676,1.002713,0.923762,98.251986
14,1.839267,0.993831,0.910274,98.1404
15,1.833017,0.995147,0.910932,98.084013
16,1.836635,1.002384,0.913564,98.159393
17,1.849794,1.003371,0.950737,97.891112
18,1.884006,1.053374,0.958961,97.87568
19,1.891572,1.047452,0.971133,97.783681
0,1.902099,1.045149,0.97212,97.701178
1,1.867229,1.020477,0.947118,97.684559
2,1.864926,1.016201,0.957645,97.544483
3,1.868216,1.012911,0.956329,97.542702
4,1.904731,1.043834,0.989884,97.220408
5,1.915586,1.042189,0.998437,97.307659
6,1.931048,1.031004,0.996134,97.267298
7,1.910981,1.004358,0.978699,97.110009
8,1.9146,1.005674,0.981331,96.855379
9,1.923153,0.999753,0.987581,96.83876
10,1.950128,1.024754,1.008964,97.133157
11,1.962299,1.037912,1.014556,96.737858
12,1.971839,1.043176,1.017846,96.628052
13,1.942561,1.030017,1.00699,96.723613
14,1.94947,1.02607,1.000739,96.685626
15,1.95243,1.033636,0.998437,96.560388
16,1.979734,1.063242,1.027714,96.465422
17,2.008683,1.078375,1.062585,96.258275
18,2.002762,1.08956,1.052058,96.125915
19,1.983682,1.050742,1.03232,96.256494
0,1.966576,1.048768,1.026399,96.003645
1,1.972497,1.044163,1.038241,95.940136
2,1.994867,1.066861,1.057979,96.029168
3,2.021842,1.078375,1.07344,95.674822
4,2.027105,1.084296,1.08298,95.628526
5,2.005393,1.052058,1.064887,95.574514
6,2.011644,1.04811,1.052716,95.324632
7,2.020197,1.046465,1.053045,95.273587
8,2.027105,1.045807,1.068506,95.258749
9,2.058685,1.080678,1.088573,95.208891
10,2.073818,1.098113,1.095481,95.142414
11,2.071515,1.100744,1.09581,95.129356
12,2.051119,1.085612,1.08298,94.951293
13,2.054409,1.087586,1.076401,94.890752
14,2.063291,1.097784,1.084625,94.719812
15,2.103424,1.13693,1.115548,94.815966
16,2.119544,1.144825,1.129035,94.535813
17,2.121188,1.149431,1.131338,94.453904
18,2.100464,1.118179,1.114561,94.380305
19,2.095858,1.112587,1.108968,94.404047
0,2.100135,1.118179,1.112258,94.147636
1,2.135334,1.153707,1.143181,94.364873
2,2.153098,1.162918,1.145483,94.18503
3,2.160335,1.153049,1.151734,94.087688
4,2.143229,1.131338,1.134299,93.947612
5,2.148821,1.128048,1.125088,93.678737
6,2.153756,1.129035,1.125088,93.782607
7,2.179086,1.1593,1.156339,93.351695
8,2.19356,1.1718,1.166537,93.325579
9,2.2031,1.184301,1.161603,93.481088
10,2.180402,1.172458,1.14351,93.388495
11,2.173165,1.169169,1.134956,93.360598
12,2.178757,1.180024,1.135285,92.992008
13,2.203758,1.203052,1.160945,93.126149
14,2.219548,1.223119,1.184301,93.019905
15,2.21922,1.225092,1.184959,92.911286
16,2.192902,1.203052,1.166537,92.943338
17,2.183034,1.193183,1.1593,92.733223
18,2.182376,1.193512,1.155352,92.66556
19,2.180731,1.18792,1.159629,92.575341
0,2.21922,1.218184,1.182985,92.51658
1,2.227444,1.225092,1.175419,92.459007
2,2.225141,1.209302,1.168511,92.247705
3,2.203429,1.181669,1.146141,92.244144
4,2.201127,1.174761,1.13693,92.256608
5,2.211324,1.172129,1.133641,92.218028
6,2.245537,1.205355,1.148115,92.30706
7,2.248826,1.214237,1.141865,92.077952
8,2.259024,1.225092,1.13397,91.930753
9,2.235997,1.208315,1.109626,91.858341
10,2.231062,1.205355,1.098771,91.686807
11,2.239615,1.212263,1.09252,91.812638
12,2.26988,1.240225,1.109955,91.84647
13,2.289618,1.245817,1.11489,91.515867
14,2.292249,1.246475,1.109955,91.494499
15,2.26659,1.216868,1.084625,91.305753
16,2.26659,1.20996,1.07344,91.450577
17,2.268564,1.206342,1.069822,91.080206
18,2.297513,1.226737,1.090546,91.183483
19,2.311658,1.229698,1.096139,91.09089
